speciesName	ln(snoutVentLength)	ln(relativeHindlimbLength)	ln(numScalesAcrossSnout)
lynchi	4.127134385	-1.084660483	3.135494216
lyra	4.343805422	-1.177893092	2.302585093
maculigula	4.672828834	-1.171182982	2.772588722
macilentus	3.713572067	-1.203972804	2.079441542
macrolepis	4.127134385	-1.175352847	2.302585093
macrinii	4.553876892	-1.351723017	2.079441542
macrophallus	3.871201011	-1.171182982	2.197224577
maculiventris	3.828641396	-1.234672405	2.564949357
magnaphallus	4.007333185	-1.175936372	2.48490665
marcanoi	4.094344562	-1.176406541	2.079441542
mariarum	3.951243719	-1.324128321	2.302585093
marmoratus	4.430816799	-1.297416441	1.791759469
marron	3.912023005	-1.327032897	1.791759469
marsupialis	3.80666249	-1.160305858	2.197224577
matudai	3.931825633	-1.108662625	2.079441542
maynardi	4.33073334	-1.407684236	1.791759469
medemi	3.951243719	-1.233159425	2.63905733
megalopithecus	4.477336814	-1.203972804	2.63905733
megapholidotus	3.970291914	-1.379575411	2.014903021
menta	4.025351691	-1.479384784	1.791759469
meridionalis	4.060443011	-1.384839815	2.197224577
mestrei	NA	NA	NA
microlepidotus	3.784189634	-1.403141932	1.791759469
microtus	4.787491743	-1.454887153	1.791759469
milleri	3.610917913	-1.162081863	2.079441542
mirus	NA	NA	NA
monticola	4.007333185	-1.086986431	2.302585093
monensis	4.043051268	-1.227553957	1.945910149
monteverde	3.912023005	-1.378326191	2.054123734
morazani	3.951243719	-1.15518264	1.704748092
muralla	NA	NA	NA
nasofrontalis	NA	NA	NA
naufragus	3.912023005	-1.1228559	1.945910149
nebuloides	3.931825633	-1.299561701	1.945910149
neblininus	4.158883083	-1.46967597	1.609437912
nebulosus	3.850147602	-1.368240687	1.945910149
nelsoni	4.248495242	-1.228231894	2.079441542
nicefori	4.143134726	-1.737692248	1.791759469
noblei	5.247024072	-1.326409509	2.079441542
notopholis	3.891820298	-1.134901523	2.197224577
nubilus	4.394449155	-1.241309648	1.945910149
occultus	3.737669618	-1.754765132	2.564949357
ocelloscapularis	3.737669618	-1.043109504	2.397895273
oculatus	4.564348191	-1.255348838	1.945910149
oligaspis	3.988984047	-1.609437912	2.197224577
olssoni	3.912023005	-1.342449753	1.945910149
omiltemanus	3.784189634	-1.458840782	1.791759469
onca	4.521788577	-1.346195075	2.302585093
opalinus	4.025351691	-1.341097856	2.079441542
ophiolepis	3.688879454	-1.507063502	2.197224577
oporinus	NA	NA	NA
orcesi	4.077537444	-1.663996897	1.386294361
ortonii	4.077537444	-1.364095096	2.197224577
otongae	NA	NA	NA
oxylophus	4.33073334	-1.237874356	2.351375257
pachypus	3.988984047	-1.169595515	2.63905733
paravertebralis	NA	NA	NA
parilis	4.394449155	-1.30933332	2.833213344
paternus	3.912023005	-1.507340042	1.791759469
parvicirculatus	3.912023005	-1.062759209	2.197224577
parvauritus	4.454	-1.30933332	2.459588842
pentaprion	4.343805422	-1.437922557	1.945910149
peraccae	3.951243719	-1.379817188	2.302585093
petersii	4.770684624	-1.350292147	2.302585093
peucephilus	3.713572067	-1.514127733	1.791759469
philopunctatus	4.290459441	-1.320044976	2.397895273
phyllorhinus	NA	NA	NA
pigmaequestris	4.941642423	-1.335505396	1.791759469
pijolense	NA	NA	NA
pinchoti	3.951243719	-1.270118489	2.397895273
pseudokemptoni	4.007333185	-1.347073648	2.302585093
placidus	3.828641396	-1.748214425	1.791759469
planiceps	4.33073334	-1.139434283	2.251291799
podocarpus	NA	NA	NA
poecilopus	4.276666119	-1.144841818	2.944438979
poei	NA	NA	NA
pogus	3.912023005	-1.30421625	1.945910149
polylepis	4.043051268	-1.179586336	2.48490665
poncensis	3.891820298	-1.419062329	1.791759469
pseudopachypus	NA	NA	NA
porcus	5.087596335	-1.507246972	2.079441542
porcatus	4.356708827	-1.410304245	1.791759469
princeps	4.762173935	-1.13251384	2.708050201
proboscis	4.317488114	-1.704477694	2.197224577
propinquus	NA	NA	NA
properus	3.931825633	-1.272965676	1.386294361
pseudotigrinus	NA	NA	NA
pulchellus	3.931825633	-1.351088403	1.791759469
pumilus	3.496507561	-1.490780369	1.791759469
punctatus	4.48863637	-1.399113702	2.397895273
purpurgularis	4.077537444	-1.123930097	2.197224577
pygmaeus	3.555348061	-1.203972804	2.079441542
quadriocellifer	4.025351691	-1.353887607	1.945910149
quaggulus	3.688879454	-1.145703896	2.079441542
quercorum	3.80666249	-1.388183649	1.945910149
ravitergum	4.025351691	-1.280134165	1.386294361
rubribarbaris	3.871201011	-1.203972804	1.791759469
rubribarbus	4.143134726	-1.197748221	2.079441542
reconditus	4.605170186	-1.177217044	2.079441542
rejectus	3.610917913	-1.286075245	2.079441542
richardi	4.941642423	-1.246491899	2.079441542
ricordii	5.075173815	-1.35235458	1.945910149
rimarum	3.80666249	-1.067982023	2.197224577
rivalis	4.158883083	-1.073919676	2.833213344
roatanensis	3.931825633	-1.084709383	2.079441542
rodriguezii	3.828641396	-1.132691602	2.197224577
roosevelti	5.075173815	-1.174797315	1.945910149
roquet	4.454347296	-1.326347054	2.197224577
rubiginosus	3.891820298	-1.272965676	2.079441542
ruibali	NA	NA	NA
ruizii	4.043051268	-1.466337069	2.079441542
rupinae	4.025351691	-1.150034275	2.48490665
sabanus	4.234106505	-1.256272885	1.945910149
sagrei	4.248495242	-1.293886941	1.945910149
salvini	4.110873864	-1.492062244	1.791759469
santamartae	NA	NA	NA
schiedii	4.060443011	-1.108662625	2.079441542
schwartzi	3.891820298	-1.214694933	1.791759469
scriptus	4.33073334	-1.247329973	1.791759469
scypheus	4.356708827	-1.098001737	2.564949357
semilineatus	3.850147602	-1.267151706	2.079441542
sericeus	3.850147602	-1.345945088	1.945910149
serranoi	4.442651256	-1.201027294	2.197224577
sheplani	3.713572067	-1.827377105	1.791759469
shrevei	4.094344562	-1.243214151	1.945910149
singularis	NA	NA	NA
smallwoodi	5.247024072	-1.336144577	1.791759469
smaragdinus	4.043051268	-1.460848105	1.791759469
sminthus	3.951243719	-1.293680543	1.791759469
soinii	4.406719247	-1.225611979	2.48490665
solitarius	3.951243719	-1.495099403	2.079441542
spectrum	3.737669618	-1.346154359	1.791759469
squamulatus	4.553876892	-1.33231836	2.564949357
strahmi	4.382026635	-1.096515119	1.945910149
stratulus	3.951243719	-1.348453449	1.945910149
subocularis	4.143134726	-1.258934362	2.079441542
sulcifrons	4.127134385	-1.420922718	2.197224577
tandai	4.248495242	-0.967584026	2.525728644
taylori	4.356708827	-1.283556164	1.945910149
tenorioensis	NA	NA	NA
terraealtae	4.382026635	-1.241328591	1.791759469
terueli	3.663561646	-1.524140332	1.386294361
tetarii	NA	NA	NA
tigrinus	4.043051268	-1.523615293	1.945910149
toldo	NA	NA	NA
tolimensis	4.007333185	-1.30933332	2.197224577
townsendi	4.043051268	-1.277762443	2.397895273
trachyderma	4.110873864	-1.124794775	2.708050201
transversalis	4.430816799	-1.369725935	1.945910149
tropidonotus	4.007333185	-1.208078289	2.197224577
tropidogaster	4.007333185	-1.202152968	2.595254707
trinitatis	4.304065093	-1.371493893	2.079441542
tropidolepis	4.077537444	-1.208108594	2.63905733
umbrivagus	NA	NA	NA
uniformis	3.688879454	-1.129998602	2.079441542
unilobatus	3.891820298	-1.411670579	2.079441542
utilensis	4.127134385	-1.349223235	1.791759469
valencienni	4.454347296	-1.528871164	1.791759469
vanidicus	3.663561646	-1.427116356	1.791759469
vanzolinii	4.644390899	-1.606977887	1.386294361
vaupesianus	4.406719247	-1.478941424	2.302585093
ventrimaculatus	4.382026635	-1.080508897	2.772588722
vermiculatus	4.812184355	-1.220317374	2.302585093
vescus	NA	NA	NA
vicarius	NA	NA	NA
villai	4.007333185	-1.231787493	2.197224577
